no,name,price,location,link_product,link_image
13,"PT. BRI (Persero) Cab. Kisaran: f. Dua bidang tanah kebun sawit, (SHM No.749 dan SHM No. 748)",375000000, Kab. Asahan,https://lelang.go.id/lot-lelang/detail/543156/PT-BRI-Persero-Cab-Kisaran-f-Dua-bidang-tanah-kebun-sawit-SHM-No749-dan-SHM-No-748.html,https://file.lelangdjkn.kemenkeu.go.id/lelang-foto-thumb/200/FOTO/2022/02/04/61fc984a41820-20461ZxN-foto-5431564.jpeg
14,"PT. BRI (Persero) Cab. Kisaran: e. Sebidang tanah kebun sawit luas 7.298 m2 (SHM No.884) di Desa Teladan Kec.Tinggi Raja, Kab.Asahan",80000000, Kab. Asahan,https://lelang.go.id/lot-lelang/detail/543151/PT-BRI-Persero-Cab-Kisaran-e-Sebidang-tanah-kebun-sawit-luas-7298-m2-SHM-No884-di-Desa-Teladan-KecTinggi-Raja-KabAsahan.html,https://file.lelangdjkn.kemenkeu.go.id/lelang-foto-thumb/200/FOTO/2022/02/04/61fc976754639-51536Icy-foto-5431511.jpeg
15,"PT. BRI (Persero) Cab. Kisaran: d. Tanah luas 10.836 m2 dan bangunan (SHM No.881) di Desa Teladan Kec.Tinggi Raja, Kab.Asahan",400000000, Kab. Asahan,https://lelang.go.id/lot-lelang/detail/543144/PT-BRI-Persero-Cab-Kisaran-d-Tanah-luas-10836-m2-dan-bangunan-SHM-No881-di-Desa-Teladan-KecTinggi-Raja-KabAsahan.html,https://file.lelangdjkn.kemenkeu.go.id/lelang-foto-thumb/200/FOTO/2022/02/04/61fc96af65469-23488Oyt-foto-5431442.jpeg
16,"PT. BRI (Persero) Cab. Kisaran: c. Tanah kebun sawit seluas 6.699 m2 (SHM No.741) di Desa Sidomulyo Kec.Tinggi Raja, Kab.Asahan",60000000, Kab. Asahan,https://lelang.go.id/lot-lelang/detail/543139/PT-BRI-Persero-Cab-Kisaran-c-Tanah-kebun-sawit-seluas-6699-m2-SHM-No741-di-Desa-Sidomulyo-KecTinggi-Raja-KabAsahan.html,https://file.lelangdjkn.kemenkeu.go.id/lelang-foto-thumb/200/FOTO/2022/02/04/61fc95e8d6ed6-87237pOA-foto-5431393.jpeg
17,"BRI Pondok Indah: tanah berikut bangunan yang berdiri diatasnya  sesuai  SHM  No.318/Cipayung, luas  96 m.",1011000000, Kota Tangerang Selatan,https://lelang.go.id/lot-lelang/detail/543961/BRI-Pondok-Indah-tanah-berikut-bangunan-yang-berdiri-diatasnya-sesuai-SHM-No318Cipayung-luas-96-m.html,https://file.lelangdjkn.kemenkeu.go.id/lelang-foto-thumb/200/FOTO/2022/02/07/6200df4f20b8d-24818Dvk-foto-543961048.jpg
18,"BNI Kanwil 15: Sebidang tanah berikut bangunan SHM No.398/Lengkong Karya, luas  660  m2",8187000000, Kota Tangerang Selatan,https://lelang.go.id/lot-lelang/detail/543920/BNI-Kanwil-15-Sebidang-tanah-berikut-bangunan-SHM-No398Lengkong-Karya-luas-660-m2.html,https://file.lelangdjkn.kemenkeu.go.id/lelang-foto-thumb/200/FOTO/2022/02/07/6200c291aade9-45180zQd-foto-543920028.jpg
19,PT. BRI (Persero) Tbk. KC Khusus: 44 kendaraan roda empat merk Nissan Livina 1.5 EL dijual dalam satu paket,4950000000, Kota Surabaya,https://lelang.go.id/lot-lelang/detail/543876/PT-BRI-Persero-Tbk-KC-Khusus-44-kendaraan-roda-empat-merk-Nissan-Livina-15-EL-dijual-dalam-satu-paket.html,https://file.lelangdjkn.kemenkeu.go.id/lelang-foto-thumb/200/FOTO/2022/02/07/6200c19a503c4-30794ID0-foto-543876mg7.jpg
20,1 paket barang inventaris kantor dalam kondisi apa adanya (KPPN Surabaya II),3019000, Kota Surabaya,https://lelang.go.id/lot-lelang/detail/543312/1-paket-barang-inventaris-kantor-dalam-kondisi-apa-adanya-KPPN-Surabaya-II.html,https://file.lelangdjkn.kemenkeu.go.id/lelang-foto-thumb/200/FOTO/2022/02/04/61fccca08d117-10229idV-foto-543312007.jpg
21,"Sebidang tanah & bangunan SHM No. 2171 luas 84 m2 terletak di Desa Petiken, Kec. Driyorejo, Kab. Gresik (BPD Jatim Syariah)",300000000, Kab. Gresik,https://lelang.go.id/lot-lelang/detail/543303/Sebidang-tanah-bangunan-SHM-No-2171-luas-84-m2-terletak-di-Desa-Petiken-Kec-Driyorejo-Kab-Gresik-BPD-Jatim-Syariah.html,https://file.lelangdjkn.kemenkeu.go.id/lelang-foto-thumb/200/FOTO/2022/02/04/61fcc9a781e36-90596n56-foto-543303011.jpg
22,"PT. BRI (Persero) Cab. Kisaran: n. Tanah luas 380 m2 dan bangunan (SHM No.882) di Desa Teladan Kec.Tinggi Raja, Kab.Asahan",115000000, Kab. Asahan,https://lelang.go.id/lot-lelang/detail/543179/PT-BRI-Persero-Cab-Kisaran-n-Tanah-luas-380-m2-dan-bangunan-SHM-No882-di-Desa-Teladan-KecTinggi-Raja-KabAsahan.html,https://file.lelangdjkn.kemenkeu.go.id/lelang-foto-thumb/200/FOTO/2022/02/04/61fc9d148f78d-28271ucU-foto-5431791.jpeg
